0.402077,0.423694,35.2097,-0.339256,-0.0175145
-1.91629,0.380189,30.7638,0.561299,0.256076
0.698231,0.428682,28.3721,-0.744207,0.188356
0.743156,0.260528,26.878,-0.450741,-0.234742
-1.90098,0.394412,25.926,0.558781,0.033973
-1.91989,0.209309,24.6447,0.32663,0.0928
-1.64818,0.44998,23.7489,0.222709,0.287817
-2.0626,0.220146,22.682,0.659646,-0.00979251
-1.36103,0.221791,21.0691,0.679804,-0.347858
0.416915,0.202759,20.8081,-0.198857,0.0735933
0.562564,0.23622,21.9782,-0.539883,-0.203798
0.273114,0.441101,23.4006,-0.652736,-0.25762
0.938096,0.252133,24.1043,-0.703964,-0.186845
0.997421,0.295281,25.2485,-0.573496,0.0448147
1.35675,0.273822,26.223,-0.515304,0.251601
1.61295,0.207352,27.9379,-0.724458,0.146782
1.6347,0.435707,29.842,-0.667384,0.34465
-1.33813,0.292705,26.2732,0.704008,-0.06725
-1.34888,0.324034,24.8955,0.12887,0.418801
-1.1879,0.407249,23.3099,0.108505,0.26394
